externalId,stationId,capacity,rental_uris.ios,rental_uris.android,electric_bike_surcharge_waiver,lat,eightd_station_services,eightd_has_key_dispenser,has_kiosk,name,short_name,lon,rental_methods,station_type,region_id,address
a3a547b8-a135-11e9-9cda-0a87ae2ba916,a3a547b8-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.78091096424803,[],false,true,63rd St Beach,15491,-87.57632374763489,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a6c38e-a135-11e9-9cda-0a87ae2ba916,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.93577461766458,[],false,true,Southport Ave & Wellington Ave,TA1307000006,-87.66360014677048,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b20960-a135-11e9-9cda-0a87ae2ba916,a3b20960-a135-11e9-9cda-0a87ae2ba916,7,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.800908,[],false,true,Damen Ave & 51st St,554,-87.674684,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a75885-a135-11e9-9cda-0a87ae2ba916,a3a75885-a135-11e9-9cda-0a87ae2ba916,23,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.901315,[],false,true,Damen Ave & Thomas St (Augusta Blvd),TA1307000070,-87.677409,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a528d0-a135-11e9-9cda-0a87ae2ba916,a3a528d0-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.778881,[],false,true,Stony Island Ave & 64th St,KA1503000021,-87.586647,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3aa4017-a135-11e9-9cda-0a87ae2ba916,a3aa4017-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.949074,[],false,true,Broadway & Waveland Ave,13325,-87.648636,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b24701-a135-11e9-9cda-0a87ae2ba916,a3b24701-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.759274039331224,[],false,true,Damen Ave & 74th St,16951,-87.67363429069519,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
792ceba0-564f-4a2c-bcb5-90da781ffeef,792ceba0-564f-4a2c-bcb5-90da781ffeef,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.7218499,[],false,true,State St & 95th St,20104,-87.6228544,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,7,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.84847,[],false,true,Western Ave & 24th St,TA1309000003,-87.685109,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ad2d57-a135-11e9-9cda-0a87ae2ba916,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.82301523798,[],false,true,State St & Pershing Rd,15449,-87.6265680185,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b22d3d-a135-11e9-9cda-0a87ae2ba916,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.785861065132,[],false,true,Damen Ave & 59th St,561,-87.67414391040802,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b1c47b-a135-11e9-9cda-0a87ae2ba916,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.872993,[],false,true,Central Ave & Harrison St,16915,-87.764499,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.891072,[],false,true,Ashland Ave & Grand Ave,13434,-87.666611,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a3a282-a135-11e9-9cda-0a87ae2ba916,a3a3a282-a135-11e9-9cda-0a87ae2ba916,35,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.932418,[],false,true,Wilton Ave & Diversey Pkwy,TA1306000014,-87.652705,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a59ec3-a135-11e9-9cda-0a87ae2ba916,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.88592,[],false,true,Ashland Ave & Lake St,13073,-87.66717,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
